City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hobart,-42.8794,147.3294,57.25,64,75,5.99,AU,1627436894
vaini,-21.2,-175.2,69.96,83,75,8.05,TO,1627436906
punta arenas,-53.15,-70.9167,44.71,81,75,23.02,CL,1627436906
mataura,-46.1927,168.8643,52.48,74,68,1.28,NZ,1627436906
busselton,-33.65,115.3333,55.04,67,65,16.64,AU,1627436907
san quintin,30.4833,-115.95,71.11,80,1,13.44,MX,1627436907
swift current,50.2834,-107.8014,88.61,30,1,17.27,CA,1627436907
saldanha,-33.0117,17.9442,53.65,67,100,5.82,ZA,1627436715
hithadhoo,-0.6,73.0833,80.46,78,72,8.86,MV,1627436908
airai,-8.9266,125.4092,74.14,34,91,4.61,TL,1627436908
esperance,-33.8667,121.9,51.64,62,2,17.27,AU,1627436773
saint-philippe,-21.3585,55.7679,67.59,86,99,12.75,RE,1627436909
chuy,-33.6971,-53.4616,42.22,70,29,16.02,UY,1627436910
villazon,-22.0866,-65.5942,38.37,19,0,7.16,BO,1627436910
jamestown,42.097,-79.2353,72.72,78,1,5.12,US,1627436713
avarua,-21.2078,-159.775,77.05,65,30,6.91,CK,1627436910
kruisfontein,-34.0033,24.7314,54.88,84,35,14.23,ZA,1627436722
tigre,-34.426,-58.5796,48.34,58,40,12.66,AR,1627436911
kieta,-6.2167,155.6333,84.13,69,98,3.87,PG,1627436911
lompoc,34.6391,-120.4579,77.02,78,90,11.5,US,1627436912
bredasdorp,-34.5322,20.0403,54.72,67,100,6.91,ZA,1627436912
arraial do cabo,-22.9661,-42.0278,70.61,83,0,22.39,BR,1627436912
mangaratiba,-22.9597,-44.0406,72.46,71,0,17.02,BR,1627436914
kapaa,22.0752,-159.319,84.18,75,90,4.0,US,1627436915
bluff,-46.6,168.3333,52.81,70,33,9.26,NZ,1627436915
sao filipe,14.8961,-24.4956,74.17,80,11,8.79,CV,1627436916
antalaha,-14.9003,50.2788,64.53,90,11,8.1,MG,1627436916
ilulissat,69.2167,-51.1,55.42,67,100,3.44,GL,1627436916
hami,42.8,93.45,93.56,14,15,12.35,CN,1627436917
atuona,-9.8,-139.0333,78.01,68,0,17.72,PF,1627436917
aripuana,-9.1667,-60.6333,77.18,48,80,1.97,BR,1627436917
codrington,-38.2667,141.9667,49.05,84,100,21.23,AU,1627436857
arandis,-22.4167,14.9667,50.47,25,0,8.9,NA,1627436918
tsaratanana,-16.7833,47.65,63.1,73,72,8.66,MG,1627436919
faanui,-16.4833,-151.75,77.79,75,55,8.99,PF,1627436919
sobolevo,54.4299,31.8996,62.71,96,100,6.89,RU,1627436919
almaznyy,48.0448,40.045,59.14,67,0,6.15,RU,1627436920
rikitea,-23.1203,-134.9692,74.03,78,100,15.28,PF,1627436920
ushuaia,-54.8,-68.3,37.06,100,90,4.61,AR,1627436885
chokurdakh,70.6333,147.9167,49.71,46,70,13.6,RU,1627436921
pevek,69.7008,170.3133,37.18,89,98,8.43,RU,1627436720
stolin,51.8912,26.846,63.97,96,7,5.37,BY,1627436922
adrar,20.5022,-10.0711,86.41,32,100,11.74,MR,1627436922
solnechnyy,50.7214,136.6319,82.87,72,44,3.49,RU,1627436922
saskylakh,71.9167,114.0833,64.78,42,20,19.73,RU,1627436923
husavik,66.0449,-17.3389,49.91,99,100,10.18,IS,1627436923
dikson,73.5069,80.5464,37.53,99,100,12.95,RU,1627436924
port alfred,-33.5906,26.891,60.94,85,16,15.01,ZA,1627436924
butaritari,3.0707,172.7902,81.64,72,100,4.54,KI,1627436765
ribeira grande,38.5167,-28.7,72.03,85,52,9.28,PT,1627436925
claremont,34.0967,-117.7198,99.05,38,1,8.01,US,1627436925
severo-kurilsk,50.6789,156.125,58.84,91,100,7.14,RU,1627436925
ugoofaaru,5.6667,73.0,82.45,76,69,14.94,MV,1627436926
tandil,-37.3217,-59.1332,40.3,92,100,8.01,AR,1627436801
siilinjarvi,63.0833,27.6667,62.62,88,0,2.3,FI,1627436926
okhotsk,59.3833,143.3,61.56,83,93,12.12,RU,1627436927
una,20.8167,71.0333,81.18,84,100,19.08,IN,1627436927
tarko-sale,64.9225,77.785,55.49,70,100,13.71,RU,1627436928
new norfolk,-42.7826,147.0587,56.91,65,52,5.01,AU,1627436717
cape town,-33.9258,18.4232,52.12,92,20,1.99,ZA,1627436928
kaitangata,-46.2817,169.8464,54.93,50,92,1.28,NZ,1627436929
inhambane,-23.865,35.3833,64.4,64,0,6.71,MZ,1627436929
svetlogorsk,52.6333,29.7333,62.11,98,97,4.36,BY,1627436930
passos,-20.7189,-46.6097,61.66,47,5,1.99,BR,1627436930
sakakah,29.9697,40.2064,87.37,26,0,6.31,SA,1627436930
boone,39.0334,-92.3335,86.88,73,0,6.26,US,1627436931
east london,-33.0153,27.9116,64.8,78,1,14.7,ZA,1627436931
yugorsk,61.3133,63.3319,45.84,84,99,4.94,RU,1627436931
nikolskoye,59.7035,30.7861,64.02,68,100,4.65,RU,1627436799
harper,4.375,-7.7169,76.46,74,100,7.54,LR,1627436932
bose,45.4612,8.0137,68.25,97,100,1.83,IT,1627436932
torbay,47.6666,-52.7314,66.97,96,90,13.8,CA,1627436868
urumqi,43.801,87.6005,79.75,28,0,6.71,CN,1627436933
albany,42.6001,-73.9662,67.95,92,100,2.04,US,1627436331
upernavik,72.7868,-56.1549,50.25,72,97,10.42,GL,1627436933
nenjiang,49.1833,125.2167,75.34,78,50,9.06,CN,1627436934
meulaboh,4.1363,96.1285,79.72,83,54,2.71,ID,1627436934
buala,-8.145,159.5921,83.19,74,90,8.88,SB,1627436934
vanimo,-2.6741,141.3028,86.25,67,20,5.91,PG,1627436935
bethel,41.3712,-73.414,77.31,83,90,4.61,US,1627436935
hilo,19.7297,-155.09,80.33,83,90,8.05,US,1627436917
pisco,-13.7,-76.2167,63.01,82,0,17.27,PE,1627436936
san patricio,28.017,-97.5169,86.68,65,30,8.57,US,1627436936
barrow,71.2906,-156.7887,42.82,87,90,19.57,US,1627436937
belgrade,44.804,20.4651,73.06,78,0,2.3,RS,1627436704
lavrentiya,65.5833,-171.0,44.17,99,100,10.27,RU,1627436808
isabela,6.7085,121.9711,86.05,67,25,5.99,PH,1627436938
puerto ayora,-0.7393,-90.3518,71.49,84,20,9.24,EC,1627436938
tasiilaq,65.6145,-37.6368,39.36,80,22,7.16,GL,1627436939
boa vista,2.8197,-60.6733,78.78,89,75,3.44,BR,1627436939
gat,31.61,34.7642,77.92,100,0,1.16,IL,1627436881
san cristobal,7.7669,-72.225,73.58,96,45,1.72,VE,1627436939
tezu,27.9167,96.1667,87.58,62,74,1.25,IN,1627436940
qaanaaq,77.484,-69.3632,42.04,92,96,6.15,GL,1627436751
grand gaube,-20.0064,57.6608,67.37,91,100,7.0,MU,1627436793
srednekolymsk,67.45,153.6833,37.49,97,100,9.33,RU,1627436941
hinganghat,20.5667,78.8333,78.21,75,100,12.26,IN,1627436941
hit,33.6416,42.8251,90.7,21,0,15.84,IQ,1627436941
mar del plata,-38.0023,-57.5575,46.13,66,90,13.0,AR,1627436763
clyde river,70.4692,-68.5914,46.63,81,90,8.05,CA,1627436942
hailey,43.5196,-114.3153,82.26,36,40,4.61,US,1627436942
puerto escondido,15.85,-97.0667,79.63,65,90,6.91,MX,1627436943
southbridge,42.0751,-72.0334,67.64,96,100,1.36,US,1627436943
bela,25.9333,81.9833,81.25,87,100,13.06,IN,1627436943
chapais,49.7834,-74.8492,53.38,62,77,3.56,CA,1627436944
saint-joseph,-21.3667,55.6167,66.58,84,64,14.38,RE,1627436944
ngunguru,-35.6167,174.5,64.17,66,74,9.19,NZ,1627436945
taoudenni,22.6783,-3.9836,98.82,10,66,8.41,ML,1627436945
broken hill,-31.95,141.4333,62.31,59,0,20.71,AU,1627436794
tezontepec,19.8833,-98.8167,66.88,78,74,7.67,MX,1627436946
biltine,14.5333,20.9167,79.84,63,100,1.52,TD,1627436946
mount isa,-20.7333,139.5,83.97,28,3,11.5,AU,1627436803
teknaf,20.8624,92.3058,80.98,88,100,13.85,BD,1627436947
hasaki,35.7333,140.8333,88.29,81,100,20.54,JP,1627436947
kabare,-2.4683,28.8242,58.32,69,13,0.78,CD,1627436948
katsuura,35.1333,140.3,86.11,77,100,19.69,JP,1627436948
verkhniy mamon,50.1635,40.3832,65.59,57,11,0.92,RU,1627436949
jiuquan,39.7432,98.5174,83.59,18,55,1.92,CN,1627436949
ancud,-41.8697,-73.8203,42.33,86,70,3.29,CL,1627436742
dingle,10.9995,122.6711,86.5,68,65,17.69,PH,1627436950
bonito,-21.1211,-56.4819,55.99,35,90,9.6,BR,1627436755
kamaishi,39.2667,141.8833,76.15,94,100,18.77,JP,1627436950
domodossola,46.1165,8.2931,70.72,99,100,1.28,IT,1627436951
beringovskiy,63.05,179.3167,48.72,87,100,14.18,RU,1627436951
tuatapere,-46.1333,167.6833,52.83,62,33,0.56,NZ,1627436790
frederikshavn,57.4407,10.5366,62.55,94,99,8.97,DK,1627436952
kununurra,-15.7667,128.7333,85.98,48,8,8.05,AU,1627436952
aswan,24.0934,32.907,88.9,23,0,11.5,EG,1627436952
asau,46.4333,26.4,72.39,70,11,6.11,RO,1627436851
robertsport,6.7533,-11.3686,77.36,80,100,12.97,LR,1627436953
kodiak,57.79,-152.4072,62.11,55,90,4.61,US,1627436731
tsiroanomandidy,-18.7667,46.0333,51.71,73,0,1.9,MG,1627436954
victoria,22.2855,114.1577,92.97,85,99,1.01,HK,1627436701
the valley,18.217,-63.0578,82.26,76,2,19.64,AI,1627436814
yellowknife,62.456,-114.3525,62.33,44,40,1.99,CA,1627436705
khatanga,71.9667,102.5,83.93,42,8,18.84,RU,1627436720
recreio,-21.525,-42.4692,64.74,56,0,1.1,BR,1627436955
fernandez,-27.9204,-63.8935,47.8,32,2,3.94,AR,1627436955
narsaq,60.9167,-46.05,46.62,73,99,3.18,GL,1627436956
rovaniemi,66.5,25.7167,62.01,67,0,8.05,FI,1627436956
klaksvik,62.2266,-6.589,50.92,96,99,4.54,FO,1627436956
ponta do sol,32.6667,-17.1,72.23,78,4,4.88,PT,1627436957
kitimat,54.0524,-128.6534,70.18,62,100,3.15,CA,1627436957
fandriana,-20.2333,47.3833,42.89,95,17,1.81,MG,1627436958
qasigiannguit,68.8193,-51.1922,55.65,79,97,9.57,GL,1627436859
port moresby,-9.4431,147.1797,85.42,70,75,11.5,PG,1627436958
seguela,7.9611,-6.6731,70.18,94,100,6.78,CI,1627436959
isangel,-19.55,169.2667,78.91,57,75,11.5,VU,1627436815
castro,-24.7911,-50.0119,47.17,91,100,6.89,BR,1627436959
mahebourg,-20.4081,57.7,67.24,94,75,17.27,MU,1627436725
east millcreek,40.7,-111.8105,92.16,40,75,14.97,US,1627436960
porto empedocle,37.2934,13.5264,80.91,50,0,3.83,IT,1627436960
batagay-alyta,67.8006,130.4114,52.43,50,32,15.7,RU,1627436961
tuktoyaktuk,69.4541,-133.0374,53.6,66,75,8.05,CA,1627436741
lagos,6.5833,3.75,75.52,84,100,5.86,NG,1627436913
longyearbyen,78.2186,15.6401,42.64,93,75,9.22,SJ,1627436961
luderitz,-26.6481,15.1594,54.57,73,0,8.81,NA,1627436962
oloron-sainte-marie,43.1944,-0.6107,62.53,92,97,1.88,FR,1627436962
new glasgow,45.5834,-62.6486,69.58,92,98,6.73,CA,1627436963
georgetown,5.4112,100.3354,84.88,80,20,1.01,MY,1627436963
port elizabeth,-33.918,25.5701,57.49,82,0,11.5,ZA,1627436964
hambantota,6.1241,81.1185,77.34,94,100,4.61,LK,1627436964
vila franca do campo,37.7167,-25.4333,68.41,88,10,7.76,PT,1627436965
niquero,20.0431,-77.5828,81.07,80,14,6.69,CU,1627436965
dawlatabad,36.4141,64.9053,80.08,16,0,7.34,AF,1627436966
bhopal,23.2667,77.4,73.63,100,90,10.36,IN,1627436966
